Date,Adj Close,%Change,Returns on 10000
26-09-2022,396.850,-2.82%,18993.22
27-09-2022,396.423,-0.11%,18972.79
28-09-2022,391.006,-1.37%,18713.54
29-09-2022,391.258,0.06%,18725.59
30-09-2022,400.631,2.40%,19174.20
03-10-2022,394.517,-1.53%,18881.55
04-10-2022,405.579,2.80%,19410.99
06-10-2022,407.138,0.38%,19485.63
07-10-2022,407.477,0.08%,19501.82
10-10-2022,406.429,-0.26%,19451.69
11-10-2022,401.686,-1.17%,19224.70
12-10-2022,405.639,0.98%,19413.86
13-10-2022,401.339,-1.06%,19208.09
14-10-2022,405.361,1.00%,19400.54
17-10-2022,409.211,0.95%,19584.82
18-10-2022,414.233,1.23%,19825.16
19-10-2022,414.882,0.16%,19856.21
20-10-2022,413.961,-0.22%,19812.18
21-10-2022,416.718,0.67%,19944.09
25-10-2022,419.293,0.62%,20067.33
27-10-2022,422.191,0.69%,20206.03
28-10-2022,418.812,-0.80%,20044.31
31-10-2022,421.010,0.52%,20149.52
01-11-2022,421.066,0.01%,20152.19
02-11-2022,418.290,-0.66%,20019.33
03-11-2022,419.103,0.19%,20058.25
04-11-2022,418.193,-0.22%,20014.71
07-11-2022,423.279,1.22%,20258.13
09-11-2022,423.580,0.07%,20272.54
10-11-2022,419.558,-0.95%,20080.02
11-11-2022,424.880,1.27%,20334.73
14-11-2022,424.735,-0.03%,20327.80
15-11-2022,426.807,0.49%,20426.95
16-11-2022,425.987,-0.19%,20387.71
17-11-2022,425.741,-0.06%,20375.93
18-11-2022,425.329,-0.10%,20356.25
21-11-2022,423.126,-0.52%,20250.81
22-11-2022,424.030,0.21%,20294.07
23-11-2022,425.904,0.44%,20383.73
24-11-2022,430.148,1.00%,20586.88
25-11-2022,433.374,0.75%,20741.27
28-11-2022,434.815,0.33%,20810.25
29-11-2022,435.197,0.09%,20828.51
30-11-2022,438.118,0.67%,20968.30
01-12-2022,439.611,0.34%,21039.78
02-12-2022,439.263,-0.08%,21023.12
05-12-2022,440.483,0.28%,21081.52
06-12-2022,439.960,-0.12%,21056.46
07-12-2022,438.622,-0.30%,20992.42
08-12-2022,444.057,1.24%,21252.56
09-12-2022,441.644,-0.54%,21137.09
12-12-2022,442.743,0.25%,21189.65
13-12-2022,447.985,1.18%,21440.55
14-12-2022,449.339,0.30%,21505.36
15-12-2022,444.707,-1.03%,21283.66
16-12-2022,440.181,-1.02%,21067.04
19-12-2022,444.483,0.98%,21272.94
20-12-2022,442.670,-0.41%,21186.15
21-12-2022,435.634,-1.59%,20849.43
22-12-2022,432.003,-0.83%,20675.62
23-12-2022,421.152,-2.51%,20156.34
26-12-2022,433.730,2.99%,20758.31
27-12-2022,437.215,0.80%,20925.10
28-12-2022,437.435,0.05%,20935.65
29-12-2022,440.768,0.76%,21095.14
30-12-2022,439.644,-0.26%,21041.34
02-01-2023,442.700,0.70%,21187.59
03-01-2023,445.661,0.67%,21329.33
04-01-2023,442.069,-0.81%,21157.38
05-01-2023,440.993,-0.24%,21105.93
06-01-2023,436.916,-0.92%,20910.80
09-01-2023,439.966,0.70%,21056.74
10-01-2023,435.902,-0.92%,20862.25
11-01-2023,436.644,0.17%,20897.75
12-01-2023,435.802,-0.19%,20857.47
13-01-2023,438.909,0.71%,21006.15
16-01-2023,436.710,-0.50%,20900.92
17-01-2023,435.723,-0.23%,20853.68
18-01-2023,437.348,0.37%,20931.48
19-01-2023,437.017,-0.08%,20915.64
20-01-2023,436.815,-0.05%,20905.93
23-01-2023,439.516,0.62%,21035.23
24-01-2023,437.773,-0.40%,20951.79
25-01-2023,427.733,-2.29%,20471.30
27-01-2023,416.535,-2.62%,19935.35
30-01-2023,416.657,0.03%,19941.17
31-01-2023,420.063,0.82%,20104.18
01-02-2023,412.043,-1.91%,19720.36
02-02-2023,412.270,0.06%,19731.22
03-02-2023,418.523,1.52%,20030.49
06-02-2023,418.873,0.08%,20047.25
07-02-2023,418.176,-0.17%,20013.90
08-02-2023,422.397,1.01%,20215.88
09-02-2023,423.560,0.28%,20271.55
10-02-2023,424.699,0.27%,20326.08
13-02-2023,420.347,-1.02%,20117.77
14-02-2023,421.554,0.29%,20175.57
15-02-2023,423.486,0.46%,20268.02
16-02-2023,423.175,-0.07%,20253.12
17-02-2023,417.843,-1.26%,19997.97
20-02-2023,416.078,-0.42%,19913.47
21-02-2023,414.835,-0.30%,19853.98
22-02-2023,409.803,-1.21%,19613.15
23-02-2023,411.570,0.43%,19697.73
24-02-2023,410.783,-0.19%,19660.06
27-02-2023,412.561,0.43%,19745.16
28-02-2023,413.061,0.12%,19769.09
01-03-2023,417.895,1.17%,20000.43
02-03-2023,416.208,-0.40%,19919.72
03-03-2023,423.908,1.85%,20288.23
06-03-2023,424.927,0.24%,20337.00
08-03-2023,426.576,0.39%,20415.89
09-03-2023,423.402,-0.74%,20263.99
10-03-2023,416.432,-1.65%,19930.42
13-03-2023,405.836,-2.54%,19423.28
14-03-2023,403.288,-0.63%,19301.35
15-03-2023,400.372,-0.72%,19161.79
16-03-2023,400.070,-0.08%,19147.35
17-03-2023,404.001,0.98%,19335.49
20-03-2023,399.663,-1.07%,19127.85
21-03-2023,405.719,1.52%,19417.70
22-03-2023,408.031,0.57%,19528.35
23-03-2023,405.596,-0.60%,19411.80
