Date,Adj Close,%Change,Returns on 10000
12-09-2022,143.976,0.34%,25319.63
13-09-2022,144.477,0.35%,25407.6
14-09-2022,145.681,0.83%,25619.49
15-09-2022,146.333,0.45%,25734.14
16-09-2022,142.973,-2.30%,25143.11
19-09-2022,143.818,0.59%,25291.74
20-09-2022,145.671,1.29%,25617.72
21-09-2022,144.751,-0.63%,25455.87
22-09-2022,145.339,0.41%,25559.28
23-09-2022,143.141,-1.51%,25172.83
26-09-2022,136.912,-4.35%,24077.29
27-09-2022,137.557,0.47%,24190.72
28-09-2022,136.327,-0.89%,23974.43
29-09-2022,137.946,1.19%,24259.18
30-09-2022,140.327,1.73%,24677.92
03-10-2022,138.022,-1.64%,24272.56
04-10-2022,140.459,1.77%,24701.12
06-10-2022,143.31,2.03%,25202.46
07-10-2022,143.493,0.13%,25234.68
10-10-2022,142.897,-0.42%,25129.76
11-10-2022,139.965,-2.05%,24614.26
12-10-2022,140.745,0.56%,24751.43
13-10-2022,139.715,-0.73%,24570.31
14-10-2022,139.73,0.01%,24572.95
17-10-2022,140.923,0.85%,24782.77
18-10-2022,141.959,0.73%,24964.87
19-10-2022,142.151,0.14%,24998.64
20-10-2022,143.338,0.84%,25207.42
21-10-2022,142.191,-0.80%,25005.69
25-10-2022,142.848,0.46%,25121.16
27-10-2022,144.151,0.91%,25350.37
28-10-2022,143.101,-0.73%,25165.7
31-10-2022,144.126,0.72%,25345.98
01-11-2022,144.233,0.07%,25364.83
02-11-2022,144.448,0.15%,25402.64
03-11-2022,144.313,-0.09%,25378.88
04-11-2022,145.903,1.10%,25658.5
07-11-2022,146.945,0.71%,25841.76
09-11-2022,147.333,0.26%,25909.96
10-11-2022,145.251,-1.41%,25543.79
11-11-2022,145.992,0.51%,25674.03
14-11-2022,146.197,0.14%,25710.25
15-11-2022,146.92,0.49%,25837.37
16-11-2022,146.17,-0.51%,25705.36
17-11-2022,145.219,-0.65%,25538.23
18-11-2022,144.872,-0.24%,25477.24
21-11-2022,144.678,-0.13%,25443.07
22-11-2022,145.11,0.30%,25519.04
23-11-2022,146.384,0.88%,25743.07
24-11-2022,147.15,0.52%,25877.69
25-11-2022,148.94,1.22%,26192.62
28-11-2022,150.099,0.78%,26396.32
29-11-2022,150.057,-0.03%,26389
30-11-2022,150.683,0.42%,26499.06
01-12-2022,151.465,0.52%,26636.52
02-12-2022,152.119,0.43%,26751.66
05-12-2022,153.184,0.70%,26938.85
06-12-2022,154.011,0.54%,27084.32
07-12-2022,153.988,-0.02%,27080.25
08-12-2022,154.553,0.37%,27179.67
09-12-2022,152.431,-1.37%,26806.49
12-12-2022,154.977,1.67%,27254.22
