Date,Adj Close,%Change,Returns on 10000
03-06-2022,201.523,-0.97%,17794.47
06-06-2022,200.445,-0.53%,17699.28
07-06-2022,199.194,-0.62%,17588.79
08-06-2022,197.932,-0.63%,17477.42
09-06-2022,198.304,0.19%,17510.19
10-06-2022,197.587,-0.36%,17446.89
13-06-2022,194.573,-1.53%,17180.74
14-06-2022,194.311,-0.13%,17157.60
15-06-2022,195.487,0.61%,17261.48
16-06-2022,191.520,-2.03%,16911.22
17-06-2022,189.410,-1.10%,16724.87
20-06-2022,188.421,-0.52%,16637.58
21-06-2022,191.020,1.38%,16867.09
22-06-2022,189.529,-0.78%,16735.44
23-06-2022,192.048,1.33%,16957.86
24-06-2022,194.759,1.41%,17197.22
27-06-2022,196.560,0.92%,17356.26
28-06-2022,196.430,-0.07%,17344.73
29-06-2022,196.325,-0.05%,17335.50
30-06-2022,196.017,-0.16%,17308.27
01-07-2022,197.794,0.91%,17465.15
04-07-2022,200.725,1.48%,17724.04
05-07-2022,200.892,0.08%,17738.77
06-07-2022,203.767,1.43%,17992.62
07-07-2022,204.711,0.46%,18076.00
08-07-2022,204.719,0.00%,18076.63
11-07-2022,205.468,0.37%,18142.80
12-07-2022,203.633,-0.89%,17980.79
13-07-2022,203.335,-0.15%,17954.46
14-07-2022,203.623,0.14%,17979.87
15-07-2022,205.278,0.81%,18126.05
18-07-2022,206.321,0.51%,18218.10
19-07-2022,206.728,0.20%,18254.09
20-07-2022,207.707,0.47%,18340.50
21-07-2022,208.960,0.60%,18451.19
22-07-2022,210.713,0.84%,18605.90
25-07-2022,210.724,0.01%,18606.89
26-07-2022,209.398,-0.63%,18489.85
27-07-2022,209.303,-0.05%,18481.43
28-07-2022,210.637,0.64%,18599.25
29-07-2022,211.688,0.50%,18692.03
01-08-2022,214.387,1.28%,18930.40
02-08-2022,216.029,0.77%,19075.31
03-08-2022,215.259,-0.36%,19007.38
04-08-2022,215.833,0.27%,19058.05
05-08-2022,215.617,-0.10%,19038.93
08-08-2022,216.748,0.52%,19138.86
10-08-2022,216.357,-0.18%,19104.30
11-08-2022,216.762,0.19%,19140.06
12-08-2022,216.837,0.03%,19146.66
16-08-2022,219.150,1.07%,19350.92
17-08-2022,220.300,0.52%,19452.47
18-08-2022,221.391,0.50%,19548.81
19-08-2022,220.157,-0.56%,19439.83
22-08-2022,218.436,-0.78%,19287.88
23-08-2022,219.528,0.50%,19384.29
24-08-2022,220.051,0.24%,19430.46
25-08-2022,219.624,-0.19%,19392.77
26-08-2022,219.546,-0.04%,19385.91
29-08-2022,218.374,-0.53%,19282.42
30-08-2022,221.520,1.44%,19560.15
01-09-2022,221.924,0.18%,19595.88
02-09-2022,223.302,0.62%,19717.51
05-09-2022,225.051,0.78%,19871.98
06-09-2022,225.071,0.01%,19873.73
07-09-2022,225.349,0.12%,19898.31
08-09-2022,227.236,0.84%,20064.94
09-09-2022,227.360,0.05%,20075.87
12-09-2022,227.898,0.24%,20123.34
13-09-2022,228.994,0.48%,20220.13
14-09-2022,228.801,-0.08%,20203.08
15-09-2022,229.161,0.16%,20234.91
16-09-2022,225.737,-1.49%,19932.54
19-09-2022,226.100,0.16%,19964.57
20-09-2022,228.296,0.97%,20158.55
21-09-2022,229.687,0.61%,20281.32
22-09-2022,231.670,0.86%,20456.43
23-09-2022,230.059,-0.70%,20314.15
26-09-2022,225.480,-1.99%,19909.85
