Date,Adj Close,%Change,Returns on 10000
23-12-2021,124.193,0.75%,19235.75
24-12-2021,122.874,-1.06%,19031.44
27-12-2021,123.319,0.36%,19100.33
28-12-2021,124.576,1.02%,19295.05
29-12-2021,124.472,-0.08%,19278.90
30-12-2021,123.801,-0.54%,19175.06
31-12-2021,125.281,1.19%,19404.20
03-01-2022,126.507,0.98%,19594.11
04-01-2022,126.491,-0.01%,19591.60
05-01-2022,127.237,0.59%,19707.17
06-01-2022,127.209,-0.02%,19702.88
07-01-2022,126.998,-0.17%,19670.14
10-01-2022,128.683,1.33%,19931.23
11-01-2022,128.938,0.20%,19970.60
12-01-2022,130.414,1.15%,20199.31
13-01-2022,130.955,0.41%,20283.10
14-01-2022,131.325,0.28%,20340.33
17-01-2022,131.668,0.26%,20393.44
18-01-2022,129.729,-1.47%,20093.10
19-01-2022,129.412,-0.24%,20044.03
20-01-2022,129.121,-0.22%,19998.95
21-01-2022,126.967,-1.67%,19665.43
24-01-2022,122.399,-3.60%,18957.90
25-01-2022,124.180,1.45%,19233.69
27-01-2022,124.561,0.31%,19292.79
28-01-2022,126.213,1.33%,19548.55
31-01-2022,128.121,1.51%,19844.09
01-02-2022,129.731,1.26%,20093.54
02-02-2022,132.052,1.79%,20453.03
03-02-2022,131.646,-0.31%,20390.13
04-02-2022,130.649,-0.76%,20235.71
07-02-2022,129.399,-0.96%,20042.01
08-02-2022,128.256,-0.88%,19864.99
09-02-2022,129.718,1.14%,20091.48
10-02-2022,130.321,0.46%,20184.87
11-02-2022,128.110,-1.70%,19842.48
14-02-2022,123.332,-3.73%,19102.45
15-02-2022,126.532,2.59%,19597.96
16-02-2022,126.589,0.04%,19606.78
17-02-2022,126.123,-0.37%,19534.62
18-02-2022,125.048,-0.85%,19368.18
21-02-2022,124.023,-0.82%,19209.34
22-02-2022,122.140,-1.52%,18917.75
23-02-2022,122.484,0.28%,18971.05
24-02-2022,115.354,-5.82%,17866.70
25-02-2022,120.143,4.15%,18608.44
28-02-2022,121.331,0.99%,18792.51
02-03-2022,120.950,-0.31%,18733.41
03-03-2022,121.306,0.29%,18788.58
04-03-2022,118.584,-2.24%,18366.99
07-03-2022,116.585,-1.69%,18057.33
08-03-2022,118.314,1.48%,18325.21
09-03-2022,121.826,2.97%,18869.13
10-03-2022,122.115,0.24%,18913.80
11-03-2022,122.621,0.42%,18992.31
14-03-2022,122.830,0.17%,19024.67
15-03-2022,122.430,-0.33%,18962.75
16-03-2022,124.559,1.74%,19292.47
17-03-2022,125.802,1.00%,19484.97
21-03-2022,126.326,0.42%,19566.09
22-03-2022,126.368,0.03%,19572.61
23-03-2022,127.252,0.70%,19709.45
24-03-2022,130.079,2.22%,20147.34
25-03-2022,130.655,0.44%,20236.54
28-03-2022,130.147,-0.39%,20157.89
29-03-2022,132.715,1.97%,20555.61
30-03-2022,134.321,1.21%,20804.46
31-03-2022,135.684,1.01%,21015.46
01-04-2022,137.170,1.10%,21245.62
04-04-2022,138.176,0.73%,21401.45
05-04-2022,138.396,0.16%,21435.57
06-04-2022,139.287,0.64%,21573.55
07-04-2022,138.734,-0.40%,21487.97
08-04-2022,141.303,1.85%,21885.91
11-04-2022,141.742,0.31%,21953.82
12-04-2022,140.066,-1.18%,21694.23
13-04-2022,139.546,-0.37%,21613.73
18-04-2022,138.415,-0.81%,21438.56
19-04-2022,136.215,-1.59%,21097.77
20-04-2022,136.041,-0.13%,21070.77
21-04-2022,138.084,1.50%,21387.27
22-04-2022,136.708,-1.00%,21174.10
25-04-2022,133.375,-2.44%,20657.94
26-04-2022,135.928,1.91%,21053.29
27-04-2022,135.486,-0.33%,20984.78
28-04-2022,136.147,0.49%,21087.19
29-04-2022,135.424,-0.53%,20975.22
02-05-2022,135.125,-0.22%,20928.97
04-05-2022,130.578,-3.37%,20224.62
05-05-2022,130.969,0.30%,20285.19
06-05-2022,129.572,-1.07%,20068.89
09-05-2022,127.113,-1.90%,19688.01
10-05-2022,124.599,-1.98%,19298.55
11-05-2022,122.665,-1.55%,18999.10
12-05-2022,120.120,-2.08%,18604.82
13-05-2022,120.745,0.52%,18701.76
16-05-2022,123.270,2.09%,19092.71
17-05-2022,126.961,2.99%,19664.52
18-05-2022,127.114,0.12%,19688.22
19-05-2022,123.903,-2.53%,19190.77
20-05-2022,127.514,2.91%,19750.12
23-05-2022,126.552,-0.75%,19601.17
24-05-2022,125.068,-1.17%,19371.21
25-05-2022,122.491,-2.06%,18972.15
26-05-2022,123.734,1.01%,19164.62
27-05-2022,125.367,1.32%,19417.55
30-05-2022,128.310,2.35%,19873.38
31-05-2022,127.666,-0.50%,19773.67
01-06-2022,127.756,0.07%,19787.51
02-06-2022,128.930,0.92%,19969.50
03-06-2022,127.144,-1.39%,19692.74
06-06-2022,126.801,-0.27%,19639.69
07-06-2022,126.176,-0.49%,19542.81
08-06-2022,125.604,-0.45%,19454.26
09-06-2022,126.420,0.65%,19580.63
10-06-2022,125.706,-0.56%,19470.03
13-06-2022,121.506,-3.34%,18819.59
14-06-2022,121.493,-0.01%,18817.60
15-06-2022,120.983,-0.42%,18738.63
16-06-2022,117.865,-2.58%,18255.57
17-06-2022,117.286,-0.49%,18165.94
20-06-2022,115.459,-1.56%,17883.02
21-06-2022,119.123,3.17%,18450.51
22-06-2022,116.656,-2.07%,18068.36
23-06-2022,118.070,1.21%,18287.35
24-06-2022,119.926,1.57%,18574.82
27-06-2022,120.932,0.84%,18730.71
28-06-2022,121.390,0.38%,18801.60
