Date,Adj Close,%Change,Returns on 10000
02-05-2022,114.927,-0.20%,15291.11
04-05-2022,112.291,-2.29%,14940.35
05-05-2022,112.324,0.03%,14944.72
06-05-2022,110.498,-1.63%,14701.86
09-05-2022,109.760,-0.67%,14603.68
10-05-2022,109.344,-0.38%,14548.29
11-05-2022,108.852,-0.45%,14482.85
12-05-2022,106.538,-2.13%,14174.99
13-05-2022,106.364,-0.16%,14151.75
16-05-2022,106.766,0.38%,14205.33
17-05-2022,109.571,2.63%,14578.51
18-05-2022,109.442,-0.12%,14561.33
19-05-2022,106.540,-2.65%,14175.19
20-05-2022,109.611,2.88%,14583.86
23-05-2022,109.263,-0.32%,14537.53
24-05-2022,108.660,-0.55%,14457.26
25-05-2022,108.067,-0.55%,14378.41
26-05-2022,109.122,0.98%,14518.76
27-05-2022,110.348,1.12%,14681.86
30-05-2022,112.426,1.88%,14958.36
31-05-2022,112.084,-0.30%,14912.85
01-06-2022,111.667,-0.37%,14857.41
02-06-2022,112.375,0.63%,14951.53
03-06-2022,112.080,-0.26%,14912.28
06-06-2022,111.979,-0.09%,14898.81
07-06-2022,110.946,-0.92%,14761.48
08-06-2022,110.541,-0.37%,14707.59
09-06-2022,111.377,0.76%,14818.78
10-06-2022,109.516,-1.67%,14571.19
13-06-2022,106.635,-2.63%,14187.90
14-06-2022,106.350,-0.27%,14149.89
15-06-2022,106.170,-0.17%,14125.92
16-06-2022,103.937,-2.10%,13828.81
17-06-2022,103.483,-0.44%,13768.54
20-06-2022,103.874,0.38%,13820.45
21-06-2022,105.817,1.87%,14079.08
22-06-2022,104.300,-1.43%,13877.15
23-06-2022,105.264,0.92%,14005.49
24-06-2022,106.224,0.91%,14133.20
27-06-2022,107.117,0.84%,14251.96
28-06-2022,107.238,0.11%,14268.10
29-06-2022,106.893,-0.32%,14222.20
30-06-2022,106.802,-0.09%,14210.09
01-07-2022,106.611,-0.18%,14184.65
04-07-2022,107.197,0.55%,14262.61
05-07-2022,107.031,-0.16%,14240.48
06-07-2022,108.238,1.13%,14401.18
07-07-2022,109.207,0.90%,14530.12
08-07-2022,109.804,0.55%,14609.44
11-07-2022,109.776,-0.02%,14605.81
12-07-2022,108.710,-0.97%,14463.94
13-07-2022,108.091,-0.57%,14381.63
14-07-2022,107.937,-0.14%,14361.09
15-07-2022,108.685,0.69%,14460.53
18-07-2022,110.232,1.42%,14666.39
19-07-2022,110.666,0.39%,14724.17
